2023-12-31 14:14:09,206 INFO    MainThread:3714 [wandb_setup.py:_flush():68] Configure stats pid to 3714
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_setup.py:_flush():68] Loading settings from /Users/sigurdrollsolberg/.config/wandb/settings
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_setup.py:_flush():68] Loading settings from /Users/sigurdrollsolberg/Documents/School/MasterPublication/DDPN/wandb/settings
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'modenet.py', 'program': '/Users/sigurdrollsolberg/Documents/School/MasterPublication/DDPN/modenet.py'}
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_init.py:_log_setup():492] Logging user logs to /Users/sigurdrollsolberg/Documents/School/MasterPublication/DDPN/wandb/run-20231231_141409-lex4mz6h/logs/debug.log
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_init.py:_log_setup():493] Logging internal logs to /Users/sigurdrollsolberg/Documents/School/MasterPublication/DDPN/wandb/run-20231231_141409-lex4mz6h/logs/debug-internal.log
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_init.py:init():532] calling init triggers
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_init.py:init():588] starting backend
2023-12-31 14:14:09,207 INFO    MainThread:3714 [wandb_init.py:init():592] setting up manager
2023-12-31 14:14:09,209 INFO    MainThread:3714 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-12-31 14:14:09,214 INFO    MainThread:3714 [wandb_init.py:init():599] backend started and connected
2023-12-31 14:14:09,218 INFO    MainThread:3714 [wandb_init.py:init():687] updated telemetry
2023-12-31 14:14:09,271 INFO    MainThread:3714 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-12-31 14:14:10,253 INFO    MainThread:3714 [wandb_run.py:_on_init():2134] communicating current version
2023-12-31 14:14:10,459 INFO    MainThread:3714 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.16.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-12-31 14:14:10,459 INFO    MainThread:3714 [wandb_init.py:init():775] starting run threads in backend
2023-12-31 14:14:25,287 INFO    MainThread:3714 [wandb_run.py:_console_start():2114] atexit reg
2023-12-31 14:14:25,287 INFO    MainThread:3714 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-12-31 14:14:25,287 INFO    MainThread:3714 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-12-31 14:14:25,287 INFO    MainThread:3714 [wandb_run.py:_redirect():2059] Redirects installed.
2023-12-31 14:14:25,288 INFO    MainThread:3714 [wandb_init.py:init():817] run started, returning control to user process
